0000 07-07-77 07:29:28 +25C 65535   325   16   5 Ê3
0080 012 015 000 000 174 255 000 000 039 023 050 071 255 121 037 043
0081 030 000 000 000 199 255 000 000 048 008 077 039 255 125 039 020
0082 030 000 000 000 207 255 000 000 050 004 075 045 255 133 040 029
0083 033 001 000 000 209 255 000 000 042 000 082 047 255 142 043 037
0084 027 000 000 000 198 255 016 000 033 010 069 041 255 148 076 010
0085 029 007 000 000 210 255 020 000 028 021 040 058 255 149 086 010
0086 000 020 010 000 216 255 012 000 066 023 012 081 255 159 070 000
0087 000 033 010 000 222 255 000 000 065 028 014 102 255 153 038 002
0088 015 033 001 002 231 255 000 000 049 055 053 103 255 134 039 005
0089 032 030 000 005 233 255 000 000 017 059 076 095 255 080 042 023
0090 044 028 000 003 216 255 000 000 016 057 094 092 255 028 029 013
0091 046 027 000 009 166 255 000 000 007 069 097 094 255 034 032 023
0092 052 016 000 009 150 255 012 000 038 068 106 075 255 045 070 033
0093 061 007 026 013 140 255 027 000 099 079 122 060 255 104 095 000
0094 083 000 022 017 116 255 012 000 090 085 154 034 255 151 068 008
0095 091 006 017 019 112 255 003 000 081 085 166 058 255 170 053 021
0096 079 023 013 029 115 254 007 000 074 104 146 084 236 206 060 029
0097 048 035 003 041 101 201 008 000 056 124 097 107 175 246 063 020
0098 029 029 005 055 076 198 020 000 059 150 073 092 131 255 084 006
0099 034 019 005 072 041 210 029 000 058 180 080 077 123 255 102 008
0100 041 021 000 088 017 250 027 000 046 210 093 086 143 251 095 020
0101 049 027 001 098 057 255 015 000 049 229 102 095 150 230 076 032
0102 041 035 000 102 115 255 009 000 041 236 093 107 176 224 064 045
0103 031 044 007 113 167 207 028 004 060 252 075 120 159 227 089 058
0104 023 047 012 107 215 141 013 000 069 239 065 124 149 229 070 032
0105 020 051 010 115 239 126 017 000 065 253 058 131 151 212 076 001
0106 000 051 008 115 244 169 018 000 062 253 012 131 166 197 081 000
0107 000 052 000 133 235 200 028 000 033 255 013 134 201 187 095 002
0108 001 053 002 149 229 190 021 000 052 255 028 137 215 183 082 000
0109 034 051 012 176 254 170 023 000 069 255 078 135 193 155 090 003
0110 023 044 007 208 255 143 020 000 061 255 062 124 152 131 084 000
0111 000 040 000 205 255 140 022 000 043 255 004 116 155 132 089 007
0112 000 030 000 187 254 112 044 004 036 255 029 098 208 183 125 000
0113 006 013 000 177 213 067 034 000 011 255 040 066 252 224 108 006
0114 000 004 000 176 172 088 032 000 000 255 024 051 255 254 103 038
0115 002 004 000 193 142 133 019 000 017 255 036 053 255 255 080 041
0116 018 009 000 199 154 148 021 000 044 255 061 061 255 255 084 027
0117 031 017 000 203 235 139 015 000 040 255 077 075 242 255 075 009
0118 072 027 004 203 255 123 000 000 055 255 134 092 200 255 046 034
0119 082 039 004 185 255 138 005 000 055 255 149 114 178 255 059 005
0120 085 057 000 159 255 155 031 000 039 255 152 149 154 255 104 024
0121 063 069 000 123 255 177 048 000 022 255 123 167 145 255 134 000
0122 043 076 000 100 255 194 045 000 018 227 092 177 138 255 125 029
0123 023 067 000 073 255 233 023 000 042 182 066 164 106 255 089 041
0124 010 053 006 049 255 255 010 000 061 138 046 135 121 255 064 018
0125 002 041 009 033 255 255 000 000 064 108 020 115 150 245 037 018
0126 000 034 003 015 255 255 000 000 055 077 000 105 162 231 036 033
0127 000 042 000 000 218 255 000 000 045 048 008 116 155 254 030 043
0128 000 047 000 000 197 255 007 000 036 045 025 129 123 255 063 040
0129 017 039 000 000 172 255 011 000 011 000 057 116 139 255 067 008
0130 030 032 000 000 156 255 016 000 010 009 073 102 147 255 076 019
0131 033 027 000 000 157 254 021 000 047 000 078 092 138 255 084 000
0132 036 025 015 000 216 136 032 000 075 000 084 092 115 255 103 003
0133 021 017 021 000 210 079 035 000 088 000 058 077 101 255 111 000
0134 000 006 008 000 163 093 033 000 063 000 017 056 118 255 105 003
0135 000 000 001 000 164 107 035 000 049 000 005 030 132 255 106 001
0136 000 000 000 000 243 204 029 000 032 000 000 023 122 255 101 000
0137 000 003 000 000 255 255 013 007 020 001 007 052 160 255 070 000
0138 000 008 000 000 255 255 032 000 011 002 004 061 208 255 104 012
0139 002 019 000 000 255 255 012 000 009 020 004 080 235 255 067 012
0140 000 029 000 000 255 255 000 000 038 042 015 095 238 255 033 009
0141 014 042 004 013 238 255 000 000 057 075 051 118 232 255 038 000
0142 030 046 000 037 191 255 000 000 017 117 073 125 177 246 029 000
0143 042 051 000 046 171 219 007 000 018 132 093 131 142 252 062 001
0144 058 046 000 047 194 225 016 000 023 136 114 124 114 255 077 000
0145 083 047 000 049 222 255 015 000 033 149 152 126 073 255 074 007
0146 087 047 000 061 228 255 007 000 039 163 155 127 112 255 060 002
0147 074 036 000 051 227 241 000 000 037 143 137 107 168 255 030 000
0148 046 026 000 038 232 172 000 000 022 118 099 091 215 255 005 008
0149 019 014 000 021 254 131 000 000 020 088 059 067 233 255 026 030
0150 000 000 000 018 255 128 000 000 029 082 027 039 183 224 025 017
0151 000 000 000 010 255 151 001 000 014 069 021 035 089 195 048 017
0152 000 001 000 017 255 197 000 000 004 069 022 048 073 190 036 027
0153 000 007 000 009 252 255 000 000 003 064 025 061 070 212 034 050
0154 000 009 000 007 208 255 000 007 000 061 019 065 130 232 025 066
0155 000 016 000 003 161 255 010 000 000 055 028 076 169 236 040 036
0156 008 018 000 000 168 255 009 000 000 045 041 077 201 221 066 026
0157 004 029 000 000 249 255 017 000 017 027 039 096 241 183 076 000
0158 000 038 001 000 255 255 014 000 050 006 024 110 255 128 071 000
0159 002 034 009 000 255 255 000 000 064 000 035 103 255 104 040 000
0160 009 022 013 000 255 255 000 000 071 024 045 083 254 081 012 020
0161 007 019 004 000 255 255 000 000 054 049 039 078 195 063 030 023
0162 001 015 000 000 253 255 000 000 019 048 031 071 119 048 039 013
0163 000 001 021 000 183 249 000 000 085 025 019 046 093 062 023 006
0164 000 000 055 000 196 204 000 000 145 023 028 035 120 104 024 000
0165 016 000 071 000 250 183 000 000 177 029 055 035 151 129 021 017
0166 044 002 065 001 231 146 022 000 163 050 095 052 167 146 088 041
0167 051 014 099 002 230 135 025 000 225 049 107 073 166 151 092 010
0168 047 016 130 000 199 135 040 000 255 036 098 073 139 176 118 010
